game_id,series_id,game_number,date,patch,champion,current_action,current_side,team,picks_before,bans_before,presence_before,pick_rate_before,ban_rate_before,presence_rate_before,pick_win_rate_before,patch_picks_before,patch_bans_before,patch_pick_win_rate_before,patch_presence_rate_before,team_champion_games_before,team_champion_win_rate_before,picked_side_won
LOLTMNT03_337081,LCK_20260114_DN_SOOPers_vs_KT_Rolster_S1,3,2026-01-14 09:54:54+00:00,16.01,Thresh,PICK,BLUE,KT Rolster,0,0,0,0.0,0.0,0.0,,0,0,,0.0,0.0,,1.0
LOLTMNT03_337081,LCK_20260114_DN_SOOPers_vs_KT_Rolster_S1,3,2026-01-14 09:54:54+00:00,16.01,Rek'Sai,PICK,BLUE,KT Rolster,0,0,0,0.0,0.0,0.0,,0,0,,0.0,0.0,,1.0
LOLTMNT03_337081,LCK_20260114_DN_SOOPers_vs_KT_Rolster_S1,3,2026-01-14 09:54:54+00:00,16.01,Zoe,PICK,BLUE,KT Rolster,0,0,0,0.0,0.0,0.0,,0,0,,0.0,0.0,,1.0
LOLTMNT03_337081,LCK_20260114_DN_SOOPers_vs_KT_Rolster_S1,3,2026-01-14 09:54:54+00:00,16.01,Ambessa,PICK,RED,DN SOOPers,0,1,1,0.0,0.5,0.5,,0,1,,0.5,0.0,,0.0
LOLTMNT03_337081,LCK_20260114_DN_SOOPers_vs_KT_Rolster_S1,3,2026-01-14 09:54:54+00:00,16.01,Nocturne,PICK,RED,DN SOOPers,0,1,1,0.0,0.5,0.5,,0,1,,0.5,0.0,,0.0
LOLTMNT03_337081,LCK_20260114_DN_SOOPers_vs_KT_Rolster_S1,3,2026-01-14 09:54:54+00:00,16.01,Ziggs,PICK,RED,DN SOOPers,0,0,0,0.0,0.0,0.0,,0,0,,0.0,0.0,,0.0
LOLTMNT03_337081,LCK_20260114_DN_SOOPers_vs_KT_Rolster_S1,3,2026-01-14 09:54:54+00:00,16.01,Aurora,PICK,RED,DN SOOPers,0,0,0,0.0,0.0,0.0,,0,0,,0.0,0.0,,0.0
LOLTMNT03_337081,LCK_20260114_DN_SOOPers_vs_KT_Rolster_S1,3,2026-01-14 09:54:54+00:00,16.01,Rell,PICK,RED,DN SOOPers,0,0,0,0.0,0.0,0.0,,0,0,,0.0,0.0,,0.0
LOLTMNT03_337109,LCK_20260114_Dplus_Kia_vs_HANJIN_BRION_S1,1,2026-01-14 11:22:18+00:00,16.01,Azir,BAN,BLUE,,0,3,3,0.0,1.0,1.0,,0,3,,1.0,,,
LOLTMNT03_337109,LCK_20260114_Dplus_Kia_vs_HANJIN_BRION_S1,1,2026-01-14 11:22:18+00:00,16.01,Jayce,BAN,BLUE,,0,3,3,0.0,1.0,1.0,,0,3,,1.0,,,
LOLTMNT03_337109,LCK_20260114_Dplus_Kia_vs_HANJIN_BRION_S1,1,2026-01-14 11:22:18+00:00,16.01,Orianna,BAN,BLUE,,0,3,3,0.0,1.0,1.0,,0,3,,1.0,,,
LOLTMNT03_337109,LCK_20260114_Dplus_Kia_vs_HANJIN_BRION_S1,1,2026-01-14 11:22:18+00:00,16.01,Renekton,BAN,BLUE,,1,0,1,0.3333333333333333,0.0,0.3333333333333333,1.0,1,0,1.0,0.3333333333333333,,,
LOLTMNT03_337109,LCK_20260114_Dplus_Kia_vs_HANJIN_BRION_S1,1,2026-01-14 11:22:18+00:00,16.01,Kai'Sa,BAN,BLUE,,0,0,0,0.0,0.0,0.0,,0,0,,0.0,,,
LOLTMNT03_337109,LCK_20260114_Dplus_Kia_vs_HANJIN_BRION_S1,1,2026-01-14 11:22:18+00:00,16.01,Qiyana,BAN,RED,,0,0,0,0.0,0.0,0.0,,0,0,,0.0,,,
LOLTMNT03_337109,LCK_20260114_Dplus_Kia_vs_HANJIN_BRION_S1,1,2026-01-14 11:22:18+00:00,16.01,Malphite,BAN,RED,,1,0,1,0.3333333333333333,0.0,0.3333333333333333,0.0,1,0,0.0,0.3333333333333333,,,
LOLTMNT03_337109,LCK_20260114_Dplus_Kia_vs_HANJIN_BRION_S1,1,2026-01-14 11:22:18+00:00,16.01,Rumble,BAN,RED,,1,0,1,0.3333333333333333,0.0,0.3333333333333333,1.0,1,0,1.0,0.3333333333333333,,,
LOLTMNT03_337109,LCK_20260114_Dplus_Kia_vs_HANJIN_BRION_S1,1,2026-01-14 11:22:18+00:00,16.01,Bard,BAN,RED,,0,0,0,0.0,0.0,0.0,,0,0,,0.0,,,
LOLTMNT03_337109,LCK_20260114_Dplus_Kia_vs_HANJIN_BRION_S1,1,2026-01-14 11:22:18+00:00,16.01,Lucian,BAN,RED,,1,0,1,0.3333333333333333,0.0,0.3333333333333333,1.0,1,0,1.0,0.3333333333333333,,,
LOLTMNT03_337109,LCK_20260114_Dplus_Kia_vs_HANJIN_BRION_S1,1,2026-01-14 11:22:18+00:00,16.01,Jarvan IV,PICK,BLUE,Dplus Kia,1,1,2,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,1,1,1.0,0.6666666666666666,0.0,,1.0
LOLTMNT03_337109,LCK_20260114_Dplus_Kia_vs_HANJIN_BRION_S1,1,2026-01-14 11:22:18+00:00,16.01,Ryze,PICK,BLUE,Dplus Kia,1,0,1,0.3333333333333333,0.0,0.3333333333333333,1.0,1,0,1.0,0.3333333333333333,0.0,,1.0
LOLTMNT03_337109,LCK_20260114_Dplus_Kia_vs_HANJIN_BRION_S1,1,2026-01-14 11:22:18+00:00,16.01,Ambessa,PICK,BLUE,Dplus Kia,1,1,2,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,1,1,0.0,0.6666666666666666,0.0,,1.0
