game_id,year,date,league,game_number,split,playoffs,patch,datacompleteness,source_url,source_series_id,blue_team,blue_team_id,red_team,red_team_id,first_pick_side,blue_result,red_result,winner_side,winner_team,blue_ban1,red_ban1,blue_pick1,red_pick1,blue_ban2,red_ban2,blue_pick2,red_pick2,blue_ban3,red_ban3,blue_pick3,red_pick3,blue_ban4,red_ban4,blue_pick4,red_pick4,blue_ban5,red_ban5,blue_pick5,red_pick5,team_pair,series_id,fearless_unavailable_before_game,fearless_unavailable_count,fearless_repeat_detected,blue_games_before,blue_wins_before,blue_win_rate_before,blue_season_games_before,blue_season_wins_before,blue_season_win_rate_before,blue_last5_games,blue_last5_win_rate,blue_last10_games,blue_last10_win_rate,blue_side_games_before,blue_side_win_rate_before,blue_patch_games_before,blue_patch_win_rate_before,blue_h2h_games_before,blue_h2h_win_rate_before,red_games_before,red_wins_before,red_win_rate_before,red_season_games_before,red_season_wins_before,red_season_win_rate_before,red_last5_games,red_last5_win_rate,red_last10_games,red_last10_win_rate,red_side_games_before,red_side_win_rate_before,red_patch_games_before,red_patch_win_rate_before,red_h2h_games_before,red_h2h_win_rate_before
LOLTMNT01_368375,2026,2026-04-19 12:15:21+00:00,LCK,2,Rounds 1-2,0,16.07,complete,,,T1,oe:team:ce499dea30cfce118f4fe85da0227e8,Kiwoom DRX,oe:team:1d0389df0c5eea93b04122ba167c010,RED,1,0,BLUE,T1,Karma,Bard,Azir,Orianna,Varus,Jayce,Pantheon,Renekton,Nocturne,Gnar,Vayne,Vi,Nautilus,Neeko,Ashe,Yunara,Pyke,Caitlyn,Seraphine,Lulu,oe:team:1d0389df0c5eea93b04122ba167c010|oe:team:ce499dea30cfce118f4fe85da0227e8,2026_20260419_Kiwoom_DRX_vs_T1_S5,"[""Rumble"", ""Ezreal"", ""Xin Zhao"", ""Ryze"", ""Twisted Fate"", ""Anivia"", ""Jhin"", ""Jarvan IV"", ""Camille"", ""K'Sante""]",10,False,150.0,92.0,0.6133333333333333,35.0,20.0,0.5714285714285714,5.0,0.6,10.0,0.6,71.0,0.6338028169014085,8.0,0.5,10.0,0.9,142.0,57.0,0.4014084507042254,45.0,19.0,0.4222222222222222,5.0,0.4,10.0,0.4,68.0,0.38235294117647056,8.0,0.5,10.0,0.1
LOLTMNT02_384269,2026,2026-04-22 08:04:37+00:00,LCK,1,Rounds 1-2,0,16.08,complete,,,Kiwoom DRX,oe:team:1d0389df0c5eea93b04122ba167c010,KT Rolster,oe:team:d723992568441c6bafa2658129eade7,RED,0,1,RED,KT Rolster,Rumble,Bard,Ezreal,Pantheon,Karma,Yorick,Xin Zhao,Jayce,Ryze,Orianna,Sion,Annie,Ashe,Nautilus,Neeko,Sivir,Yunara,Azir,Aurora,Yuumi,oe:team:1d0389df0c5eea93b04122ba167c010|oe:team:d723992568441c6bafa2658129eade7,2026_20260422_KT_Rolster_vs_Kiwoom_DRX_S3,[],0,False,143.0,57.0,0.3986013986013986,46.0,19.0,0.41304347826086957,5.0,0.2,10.0,0.4,74.0,0.4189189189189189,0.0,,4.0,0.0,145.0,72.0,0.496551724137931,31.0,18.0,0.5806451612903226,5.0,0.8,10.0,0.9,71.0,0.5211267605633803,0.0,,4.0,1.0
LOLTMNT02_383295,2026,2026-04-22 09:04:09+00:00,LCK,2,Rounds 1-2,0,16.08,complete,,,Kiwoom DRX,oe:team:1d0389df0c5eea93b04122ba167c010,KT Rolster,oe:team:d723992568441c6bafa2658129eade7,RED,0,1,RED,KT Rolster,Karma,Bard,Nocturne,Orianna,Rumble,Varus,Nautilus,Ashe,Ryze,Jarvan IV,Azir,Seraphine,Wukong,Jhin,Gnar,Trundle,Renekton,Yunara,Corki,Vayne,oe:team:1d0389df0c5eea93b04122ba167c010|oe:team:d723992568441c6bafa2658129eade7,2026_20260422_KT_Rolster_vs_Kiwoom_DRX_S3,"[""Ezreal"", ""Pantheon"", ""Xin Zhao"", ""Jayce"", ""Sion"", ""Annie"", ""Neeko"", ""Sivir"", ""Aurora"", ""Yuumi""]",10,False,144.0,57.0,0.3958333333333333,47.0,19.0,0.40425531914893614,5.0,0.0,10.0,0.4,75.0,0.41333333333333333,1.0,0.0,5.0,0.0,146.0,73.0,0.5,32.0,19.0,0.59375,5.0,1.0,10.0,0.9,72.0,0.5277777777777778,1.0,1.0,5.0,1.0
LOLTMNT02_383315,2026,2026-04-22 10:16:00+00:00,LCK,1,Rounds 1-2,0,16.08,complete,,,Hanwha Life Esports,oe:team:3a1d18f46bcb3716ebcfcf4ef068934,Nongshim RedForce,oe:team:5cd2cd09ec94296f605dd13a2924d6c,BLUE,1,0,BLUE,Hanwha Life Esports,Varus,Orianna,Jarvan IV,Karma,Rumble,Ashe,Nautilus,Caitlyn,Ezreal,Bard,Aurora,Ryze,Xin Zhao,Jhin,Miss Fortune,Pantheon,Sion,Ziggs,Jayce,Yorick,oe:team:3a1d18f46bcb3716ebcfcf4ef068934|oe:team:5cd2cd09ec94296f605dd13a2924d6c,2026_20260422_Hanwha_Life_Esports_vs_Nongshim_RedForce_S8,[],0,False,148.0,91.0,0.6148648648648649,27.0,15.0,0.5555555555555556,5.0,1.0,10.0,0.8,66.0,0.6212121212121212,0.0,,14.0,0.8571428571428571,151.0,62.0,0.4105960264900662,34.0,16.0,0.47058823529411764,5.0,0.8,10.0,0.5,73.0,0.410958904109589,0.0,,14.0,0.14285714285714285
LOLTMNT02_384348,2026,2026-04-22 11:06:38+00:00,LCK,2,Rounds 1-2,0,16.08,complete,,,Hanwha Life Esports,oe:team:3a1d18f46bcb3716ebcfcf4ef068934,Nongshim RedForce,oe:team:5cd2cd09ec94296f605dd13a2924d6c,BLUE,0,1,RED,Nongshim RedForce,Varus,Orianna,Xin Zhao,Azir,Ezreal,Ashe,Bard,Poppy,Yunara,Rumble,Ziggs,Gnar,Lucian,Vayne,Sivir,Corki,Kalista,Jhin,Anivia,Nami,oe:team:3a1d18f46bcb3716ebcfcf4ef068934|oe:team:5cd2cd09ec94296f605dd13a2924d6c,2026_20260422_Hanwha_Life_Esports_vs_Nongshim_RedForce_S8,"[""Jarvan IV"", ""Karma"", ""Nautilus"", ""Caitlyn"", ""Aurora"", ""Ryze"", ""Miss Fortune"", ""Pantheon"", ""Jayce"", ""Yorick""]",10,False,149.0,92.0,0.6174496644295302,28.0,16.0,0.5714285714285714,5.0,1.0,10.0,0.9,67.0,0.6268656716417911,1.0,1.0,15.0,0.8666666666666667,152.0,62.0,0.40789473684210525,35.0,16.0,0.45714285714285713,5.0,0.6,10.0,0.4,74.0,0.40540540540540543,1.0,0.0,15.0,0.13333333333333333
LOLTMNT02_384385,2026,2026-04-22 12:05:40+00:00,LCK,3,Rounds 1-2,0,16.08,complete,,,Nongshim RedForce,oe:team:5cd2cd09ec94296f605dd13a2924d6c,Hanwha Life Esports,oe:team:3a1d18f46bcb3716ebcfcf4ef068934,BLUE,0,1,RED,Hanwha Life Esports,Ashe,Orianna,Yunara,Lulu,Varus,Rumble,Wukong,Nocturne,Vi,Annie,Neeko,Xayah,Vayne,LeBlanc,Ambessa,Ahri,Mel,Renekton,Akali,Rek'Sai,oe:team:3a1d18f46bcb3716ebcfcf4ef068934|oe:team:5cd2cd09ec94296f605dd13a2924d6c,2026_20260422_Hanwha_Life_Esports_vs_Nongshim_RedForce_S8,"[""Jarvan IV"", ""Karma"", ""Nautilus"", ""Caitlyn"", ""Aurora"", ""Ryze"", ""Miss Fortune"", ""Pantheon"", ""Jayce"", ""Yorick"", ""Xin Zhao"", ""Azir"", ""Bard"", ""Poppy"", ""Ziggs"", ""Gnar"", ""Sivir"", ""Corki"", ""Anivia"", ""Nami""]",20,False,153.0,63.0,0.4117647058823529,36.0,17.0,0.4722222222222222,5.0,0.6,10.0,0.5,78.0,0.41025641025641024,2.0,0.5,16.0,0.1875,150.0,92.0,0.6133333333333333,29.0,16.0,0.5517241379310345,5.0,0.8,10.0,0.8,82.0,0.6097560975609756,2.0,0.5,16.0,0.8125
LOLTMNT05_186248,2026,2026-04-23 08:05:27+00:00,LCK,1,Rounds 1-2,0,16.08,complete,,,HANJIN BRION,oe:team:b77b3f6068e20a2b3edc0ecd3dc70d4,Dplus Kia,oe:team:ef69efa6acebe94107f0cf1ba716806,RED,0,1,RED,Dplus Kia,Rumble,Nocturne,Pantheon,Varus,Orianna,Ryze,Ezreal,Lee Sin,Karma,Nautilus,Neeko,Annie,Ashe,Azir,Anivia,Jhin,Lulu,Jax,Aurora,Bard,oe:team:b77b3f6068e20a2b3edc0ecd3dc70d4|oe:team:ef69efa6acebe94107f0cf1ba716806,2026_20260423_Dplus_Kia_vs_HANJIN_BRION_S9,[],0,False,134.0,49.0,0.3656716417910448,33.0,10.0,0.30303030303030304,5.0,0.2,10.0,0.2,67.0,0.43283582089552236,0.0,,20.0,0.4,180.0,98.0,0.5444444444444444,49.0,25.0,0.5102040816326531,5.0,0.4,10.0,0.5,90.0,0.4777777777777778,0.0,,20.0,0.6
LOLTMNT05_186249,2026,2026-04-23 09:03:37+00:00,LCK,2,Rounds 1-2,0,16.08,complete,,,Dplus Kia,oe:team:ef69efa6acebe94107f0cf1ba716806,HANJIN BRION,oe:team:b77b3f6068e20a2b3edc0ecd3dc70d4,RED,1,0,BLUE,Dplus Kia,Orianna,Vi,Jayce,Rumble,Nocturne,Ryze,Jarvan IV,Yunara,Ashe,Karma,Ahri,Lulu,Xin Zhao,Nami,Aphelios,Sejuani,Poppy,Nautilus,Thresh,Yone,oe:team:b77b3f6068e20a2b3edc0ecd3dc70d4|oe:team:ef69efa6acebe94107f0cf1ba716806,2026_20260423_Dplus_Kia_vs_HANJIN_BRION_S9,"[""Pantheon"", ""Varus"", ""Ezreal"", ""Lee Sin"", ""Neeko"", ""Annie"", ""Anivia"", ""Jhin"", ""Aurora"", ""Bard""]",10,False,181.0,99.0,0.5469613259668509,50.0,26.0,0.52,5.0,0.6,10.0,0.6,90.0,0.6111111111111112,1.0,1.0,21.0,0.6190476190476191,135.0,49.0,0.362962962962963,34.0,10.0,0.29411764705882354,5.0,0.2,10.0,0.1,67.0,0.29850746268656714,1.0,0.0,21.0,0.38095238095238093
LOLTMNT05_186273,2026,2026-04-23 10:15:14+00:00,LCK,1,Rounds 1-2,0,16.08,complete,,,DN SOOPers,oe:team:b3c72a20aa56f5d28022ac04a7dc294,Gen.G,oe:team:50f58982d91a36557ec8aec52ab014f,BLUE,0,1,RED,Gen.G,Bard,Rumble,Seraphine,Jarvan IV,Pantheon,Karma,Xin Zhao,Azir,Varus,Orianna,Ashe,Nautilus,Jayce,Akali,Aurora,Ziggs,Jhin,LeBlanc,Renekton,Gnar,oe:team:50f58982d91a36557ec8aec52ab014f|oe:team:b3c72a20aa56f5d28022ac04a7dc294,2026_20260423_DN_SOOPers_vs_Gen_G_S4,[],0,False,133.0,38.0,0.2857142857142857,45.0,17.0,0.37777777777777777,5.0,0.0,10.0,0.0,75.0,0.32,0.0,,6.0,0.0,156.0,117.0,0.75,35.0,27.0,0.7714285714285715,5.0,0.4,10.0,0.6,85.0,0.7058823529411765,0.0,,6.0,1.0
LOLTMNT05_186277,2026,2026-04-23 11:13:51+00:00,LCK,2,Rounds 1-2,0,16.08,complete,,,Gen.G,oe:team:50f58982d91a36557ec8aec52ab014f,DN SOOPers,oe:team:b3c72a20aa56f5d28022ac04a7dc294,RED,1,0,BLUE,Gen.G,Karma,Bard,Yunara,Varus,Rumble,Pantheon,Lulu,Wukong,Orianna,Ryze,Maokai,Annie,Nami,Jayce,Akali,Lucian,Neeko,Hwei,Naafiri,Milio,oe:team:50f58982d91a36557ec8aec52ab014f|oe:team:b3c72a20aa56f5d28022ac04a7dc294,2026_20260423_DN_SOOPers_vs_Gen_G_S4,"[""Seraphine"", ""Jarvan IV"", ""Xin Zhao"", ""Azir"", ""Ashe"", ""Nautilus"", ""Aurora"", ""Ziggs"", ""Renekton"", ""Gnar""]",10,False,157.0,118.0,0.7515923566878981,36.0,28.0,0.7777777777777778,5.0,0.6,10.0,0.6,71.0,0.8028169014084507,1.0,1.0,7.0,1.0,134.0,38.0,0.2835820895522388,46.0,17.0,0.3695652173913043,5.0,0.0,10.0,0.0,58.0,0.2413793103448276,1.0,0.0,7.0,0.0
LOLTMNT05_185400,2026,2026-04-24 08:07:08+00:00,LCK,1,Rounds 1-2,0,16.08,complete,,,BNK FEARX,oe:team:5c2e7e9ea8dfcba0150d9a5619baecf,KT Rolster,oe:team:d723992568441c6bafa2658129eade7,RED,0,1,RED,KT Rolster,Varus,Ezreal,Caitlyn,Karma,Orianna,Jarvan IV,Xin Zhao,Trundle,Rumble,Pantheon,Bard,Jhin,Azir,Annie,Renekton,Ryze,Jayce,Gnar,Anivia,K'Sante,oe:team:5c2e7e9ea8dfcba0150d9a5619baecf|oe:team:d723992568441c6bafa2658129eade7,2026_20260424_BNK_FEARX_vs_KT_Rolster_S5,[],0,False,151.0,69.0,0.45695364238410596,46.0,23.0,0.5,5.0,0.6,10.0,0.5,79.0,0.5189873417721519,0.0,,13.0,0.3076923076923077,147.0,74.0,0.5034013605442177,33.0,20.0,0.6060606060606061,5.0,1.0,10.0,0.9,73.0,0.5342465753424658,2.0,1.0,13.0,0.6923076923076923
LOLTMNT05_185401,2026,2026-04-24 09:15:07+00:00,LCK,2,Rounds 1-2,0,16.08,complete,,,BNK FEARX,oe:team:5c2e7e9ea8dfcba0150d9a5619baecf,KT Rolster,oe:team:d723992568441c6bafa2658129eade7,RED,0,1,RED,KT Rolster,Varus,Nocturne,Ezreal,Jarvan IV,Rumble,Vi,Neeko,Jayce,Orianna,Pantheon,Sion,Annie,Lulu,Akali,Hwei,Sivir,Seraphine,Azir,Lee Sin,Yuumi,oe:team:5c2e7e9ea8dfcba0150d9a5619baecf|oe:team:d723992568441c6bafa2658129eade7,2026_20260424_BNK_FEARX_vs_KT_Rolster_S5,"[""Caitlyn"", ""Karma"", ""Xin Zhao"", ""Trundle"", ""Bard"", ""Jhin"", ""Renekton"", ""Ryze"", ""Anivia"", ""K'Sante""]",10,False,152.0,69.0,0.45394736842105265,47.0,23.0,0.48936170212765956,5.0,0.4,10.0,0.5,80.0,0.5125,1.0,0.0,14.0,0.2857142857142857,148.0,75.0,0.5067567567567568,34.0,21.0,0.6176470588235294,5.0,1.0,10.0,0.9,74.0,0.5405405405405406,3.0,1.0,14.0,0.7142857142857143
LOLTMNT05_186436,2026,2026-04-24 10:32:53+00:00,LCK,1,Rounds 1-2,0,16.08,complete,,,Kiwoom DRX,oe:team:1d0389df0c5eea93b04122ba167c010,Hanwha Life Esports,oe:team:3a1d18f46bcb3716ebcfcf4ef068934,BLUE,0,1,RED,Hanwha Life Esports,Varus,Orianna,Xin Zhao,Bard,Karma,Rumble,Yunara,Pantheon,Jarvan IV,Ezreal,Nautilus,Caitlyn,Azir,LeBlanc,Cassiopeia,Ryze,Yorick,Anivia,Jayce,Vayne,oe:team:1d0389df0c5eea93b04122ba167c010|oe:team:3a1d18f46bcb3716ebcfcf4ef068934,2026_20260424_Hanwha_Life_Esports_vs_Kiwoom_DRX_S5,[],0,False,145.0,57.0,0.3931034482758621,48.0,19.0,0.3958333333333333,5.0,0.0,10.0,0.4,76.0,0.40789473684210525,2.0,0.0,8.0,0.0,151.0,93.0,0.6158940397350994,30.0,17.0,0.5666666666666667,5.0,0.8,10.0,0.8,83.0,0.6144578313253012,3.0,0.6666666666666666,8.0,1.0
