phase,side,action,champion,order,game_id,series_id,game_number,date,patch,blue_team,red_team,first_pick_side,fearless_unavailable,blue_win_rate_before,red_win_rate_before,blue_side_win_rate_before,red_side_win_rate_before,blue_patch_win_rate_before,red_patch_win_rate_before,blue_h2h_win_rate_before,red_h2h_win_rate_before,winner_side,winner_team,acting_side_won
PICK_PHASE_1,RED,PICK,Taliyah,11,LOLTMNT03_337058,LCK_20260114_DN_SOOPers_vs_KT_Rolster_S1,1,2026-01-14 08:13:43+00:00,16.01,DN SOOPers,KT Rolster,RED,[],,,,,,,,,BLUE,DN SOOPers,0
PICK_PHASE_1,BLUE,PICK,Ahri,12,LOLTMNT03_337058,LCK_20260114_DN_SOOPers_vs_KT_Rolster_S1,1,2026-01-14 08:13:43+00:00,16.01,DN SOOPers,KT Rolster,RED,[],,,,,,,,,BLUE,DN SOOPers,1
BAN_PHASE_2,BLUE,BAN,Ambessa,13,LOLTMNT03_337058,LCK_20260114_DN_SOOPers_vs_KT_Rolster_S1,1,2026-01-14 08:13:43+00:00,16.01,DN SOOPers,KT Rolster,RED,[],,,,,,,,,BLUE,DN SOOPers,1
BAN_PHASE_2,RED,BAN,Rakan,14,LOLTMNT03_337058,LCK_20260114_DN_SOOPers_vs_KT_Rolster_S1,1,2026-01-14 08:13:43+00:00,16.01,DN SOOPers,KT Rolster,RED,[],,,,,,,,,BLUE,DN SOOPers,0
BAN_PHASE_2,BLUE,BAN,Nautilus,15,LOLTMNT03_337058,LCK_20260114_DN_SOOPers_vs_KT_Rolster_S1,1,2026-01-14 08:13:43+00:00,16.01,DN SOOPers,KT Rolster,RED,[],,,,,,,,,BLUE,DN SOOPers,1
BAN_PHASE_2,RED,BAN,Aphelios,16,LOLTMNT03_337058,LCK_20260114_DN_SOOPers_vs_KT_Rolster_S1,1,2026-01-14 08:13:43+00:00,16.01,DN SOOPers,KT Rolster,RED,[],,,,,,,,,BLUE,DN SOOPers,0
PICK_PHASE_2,BLUE,PICK,Corki,17,LOLTMNT03_337058,LCK_20260114_DN_SOOPers_vs_KT_Rolster_S1,1,2026-01-14 08:13:43+00:00,16.01,DN SOOPers,KT Rolster,RED,[],,,,,,,,,BLUE,DN SOOPers,1
PICK_PHASE_2,RED,PICK,Alistar,18,LOLTMNT03_337058,LCK_20260114_DN_SOOPers_vs_KT_Rolster_S1,1,2026-01-14 08:13:43+00:00,16.01,DN SOOPers,KT Rolster,RED,[],,,,,,,,,BLUE,DN SOOPers,0
PICK_PHASE_2,RED,PICK,K'Sante,19,LOLTMNT03_337058,LCK_20260114_DN_SOOPers_vs_KT_Rolster_S1,1,2026-01-14 08:13:43+00:00,16.01,DN SOOPers,KT Rolster,RED,[],,,,,,,,,BLUE,DN SOOPers,0
PICK_PHASE_2,BLUE,PICK,Pantheon,20,LOLTMNT03_337058,LCK_20260114_DN_SOOPers_vs_KT_Rolster_S1,1,2026-01-14 08:13:43+00:00,16.01,DN SOOPers,KT Rolster,RED,[],,,,,,,,,BLUE,DN SOOPers,1
BAN_PHASE_1,RED,BAN,Neeko,1,LOLTMNT03_337069,LCK_20260114_DN_SOOPers_vs_KT_Rolster_S1,2,2026-01-14 09:06:16+00:00,16.01,DN SOOPers,KT Rolster,RED,"[""Rumble"", ""Malphite"", ""Wukong"", ""Yunara"", ""Ahri"", ""Taliyah"", ""Corki"", ""Alistar"", ""Pantheon"", ""K'Sante""]",1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,RED,KT Rolster,1
BAN_PHASE_1,BLUE,BAN,Jayce,2,LOLTMNT03_337069,LCK_20260114_DN_SOOPers_vs_KT_Rolster_S1,2,2026-01-14 09:06:16+00:00,16.01,DN SOOPers,KT Rolster,RED,"[""Rumble"", ""Malphite"", ""Wukong"", ""Yunara"", ""Ahri"", ""Taliyah"", ""Corki"", ""Alistar"", ""Pantheon"", ""K'Sante""]",1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,RED,KT Rolster,0
BAN_PHASE_1,RED,BAN,Vi,3,LOLTMNT03_337069,LCK_20260114_DN_SOOPers_vs_KT_Rolster_S1,2,2026-01-14 09:06:16+00:00,16.01,DN SOOPers,KT Rolster,RED,"[""Rumble"", ""Malphite"", ""Wukong"", ""Yunara"", ""Ahri"", ""Taliyah"", ""Corki"", ""Alistar"", ""Pantheon"", ""K'Sante""]",1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,RED,KT Rolster,1
BAN_PHASE_1,BLUE,BAN,Azir,4,LOLTMNT03_337069,LCK_20260114_DN_SOOPers_vs_KT_Rolster_S1,2,2026-01-14 09:06:16+00:00,16.01,DN SOOPers,KT Rolster,RED,"[""Rumble"", ""Malphite"", ""Wukong"", ""Yunara"", ""Ahri"", ""Taliyah"", ""Corki"", ""Alistar"", ""Pantheon"", ""K'Sante""]",1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,RED,KT Rolster,0
BAN_PHASE_1,RED,BAN,Cassiopeia,5,LOLTMNT03_337069,LCK_20260114_DN_SOOPers_vs_KT_Rolster_S1,2,2026-01-14 09:06:16+00:00,16.01,DN SOOPers,KT Rolster,RED,"[""Rumble"", ""Malphite"", ""Wukong"", ""Yunara"", ""Ahri"", ""Taliyah"", ""Corki"", ""Alistar"", ""Pantheon"", ""K'Sante""]",1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,RED,KT Rolster,1
BAN_PHASE_1,BLUE,BAN,Orianna,6,LOLTMNT03_337069,LCK_20260114_DN_SOOPers_vs_KT_Rolster_S1,2,2026-01-14 09:06:16+00:00,16.01,DN SOOPers,KT Rolster,RED,"[""Rumble"", ""Malphite"", ""Wukong"", ""Yunara"", ""Ahri"", ""Taliyah"", ""Corki"", ""Alistar"", ""Pantheon"", ""K'Sante""]",1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,RED,KT Rolster,0
PICK_PHASE_1,RED,PICK,Ryze,7,LOLTMNT03_337069,LCK_20260114_DN_SOOPers_vs_KT_Rolster_S1,2,2026-01-14 09:06:16+00:00,16.01,DN SOOPers,KT Rolster,RED,"[""Rumble"", ""Malphite"", ""Wukong"", ""Yunara"", ""Ahri"", ""Taliyah"", ""Corki"", ""Alistar"", ""Pantheon"", ""K'Sante""]",1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,RED,KT Rolster,1
PICK_PHASE_1,BLUE,PICK,Ashe,8,LOLTMNT03_337069,LCK_20260114_DN_SOOPers_vs_KT_Rolster_S1,2,2026-01-14 09:06:16+00:00,16.01,DN SOOPers,KT Rolster,RED,"[""Rumble"", ""Malphite"", ""Wukong"", ""Yunara"", ""Ahri"", ""Taliyah"", ""Corki"", ""Alistar"", ""Pantheon"", ""K'Sante""]",1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,RED,KT Rolster,0
PICK_PHASE_1,BLUE,PICK,Dr. Mundo,9,LOLTMNT03_337069,LCK_20260114_DN_SOOPers_vs_KT_Rolster_S1,2,2026-01-14 09:06:16+00:00,16.01,DN SOOPers,KT Rolster,RED,"[""Rumble"", ""Malphite"", ""Wukong"", ""Yunara"", ""Ahri"", ""Taliyah"", ""Corki"", ""Alistar"", ""Pantheon"", ""K'Sante""]",1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,RED,KT Rolster,0
PICK_PHASE_1,RED,PICK,Lucian,10,LOLTMNT03_337069,LCK_20260114_DN_SOOPers_vs_KT_Rolster_S1,2,2026-01-14 09:06:16+00:00,16.01,DN SOOPers,KT Rolster,RED,"[""Rumble"", ""Malphite"", ""Wukong"", ""Yunara"", ""Ahri"", ""Taliyah"", ""Corki"", ""Alistar"", ""Pantheon"", ""K'Sante""]",1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,RED,KT Rolster,1
PICK_PHASE_1,RED,PICK,Braum,11,LOLTMNT03_337069,LCK_20260114_DN_SOOPers_vs_KT_Rolster_S1,2,2026-01-14 09:06:16+00:00,16.01,DN SOOPers,KT Rolster,RED,"[""Rumble"", ""Malphite"", ""Wukong"", ""Yunara"", ""Ahri"", ""Taliyah"", ""Corki"", ""Alistar"", ""Pantheon"", ""K'Sante""]",1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,RED,KT Rolster,1
PICK_PHASE_1,BLUE,PICK,Viktor,12,LOLTMNT03_337069,LCK_20260114_DN_SOOPers_vs_KT_Rolster_S1,2,2026-01-14 09:06:16+00:00,16.01,DN SOOPers,KT Rolster,RED,"[""Rumble"", ""Malphite"", ""Wukong"", ""Yunara"", ""Ahri"", ""Taliyah"", ""Corki"", ""Alistar"", ""Pantheon"", ""K'Sante""]",1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,RED,KT Rolster,0
BAN_PHASE_2,BLUE,BAN,Jarvan IV,13,LOLTMNT03_337069,LCK_20260114_DN_SOOPers_vs_KT_Rolster_S1,2,2026-01-14 09:06:16+00:00,16.01,DN SOOPers,KT Rolster,RED,"[""Rumble"", ""Malphite"", ""Wukong"", ""Yunara"", ""Ahri"", ""Taliyah"", ""Corki"", ""Alistar"", ""Pantheon"", ""K'Sante""]",1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,RED,KT Rolster,0
BAN_PHASE_2,RED,BAN,Renata Glasc,14,LOLTMNT03_337069,LCK_20260114_DN_SOOPers_vs_KT_Rolster_S1,2,2026-01-14 09:06:16+00:00,16.01,DN SOOPers,KT Rolster,RED,"[""Rumble"", ""Malphite"", ""Wukong"", ""Yunara"", ""Ahri"", ""Taliyah"", ""Corki"", ""Alistar"", ""Pantheon"", ""K'Sante""]",1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,RED,KT Rolster,1
BAN_PHASE_2,BLUE,BAN,Nocturne,15,LOLTMNT03_337069,LCK_20260114_DN_SOOPers_vs_KT_Rolster_S1,2,2026-01-14 09:06:16+00:00,16.01,DN SOOPers,KT Rolster,RED,"[""Rumble"", ""Malphite"", ""Wukong"", ""Yunara"", ""Ahri"", ""Taliyah"", ""Corki"", ""Alistar"", ""Pantheon"", ""K'Sante""]",1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,RED,KT Rolster,0
BAN_PHASE_2,RED,BAN,Lulu,16,LOLTMNT03_337069,LCK_20260114_DN_SOOPers_vs_KT_Rolster_S1,2,2026-01-14 09:06:16+00:00,16.01,DN SOOPers,KT Rolster,RED,"[""Rumble"", ""Malphite"", ""Wukong"", ""Yunara"", ""Ahri"", ""Taliyah"", ""Corki"", ""Alistar"", ""Pantheon"", ""K'Sante""]",1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,RED,KT Rolster,1
PICK_PHASE_2,BLUE,PICK,Soraka,17,LOLTMNT03_337069,LCK_20260114_DN_SOOPers_vs_KT_Rolster_S1,2,2026-01-14 09:06:16+00:00,16.01,DN SOOPers,KT Rolster,RED,"[""Rumble"", ""Malphite"", ""Wukong"", ""Yunara"", ""Ahri"", ""Taliyah"", ""Corki"", ""Alistar"", ""Pantheon"", ""K'Sante""]",1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,RED,KT Rolster,0
PICK_PHASE_2,RED,PICK,Renekton,18,LOLTMNT03_337069,LCK_20260114_DN_SOOPers_vs_KT_Rolster_S1,2,2026-01-14 09:06:16+00:00,16.01,DN SOOPers,KT Rolster,RED,"[""Rumble"", ""Malphite"", ""Wukong"", ""Yunara"", ""Ahri"", ""Taliyah"", ""Corki"", ""Alistar"", ""Pantheon"", ""K'Sante""]",1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,RED,KT Rolster,1
PICK_PHASE_2,RED,PICK,Sylas,19,LOLTMNT03_337069,LCK_20260114_DN_SOOPers_vs_KT_Rolster_S1,2,2026-01-14 09:06:16+00:00,16.01,DN SOOPers,KT Rolster,RED,"[""Rumble"", ""Malphite"", ""Wukong"", ""Yunara"", ""Ahri"", ""Taliyah"", ""Corki"", ""Alistar"", ""Pantheon"", ""K'Sante""]",1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,RED,KT Rolster,1
PICK_PHASE_2,BLUE,PICK,Sion,20,LOLTMNT03_337069,LCK_20260114_DN_SOOPers_vs_KT_Rolster_S1,2,2026-01-14 09:06:16+00:00,16.01,DN SOOPers,KT Rolster,RED,"[""Rumble"", ""Malphite"", ""Wukong"", ""Yunara"", ""Ahri"", ""Taliyah"", ""Corki"", ""Alistar"", ""Pantheon"", ""K'Sante""]",1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,RED,KT Rolster,0
BAN_PHASE_1,RED,BAN,Poppy,1,LOLTMNT03_337081,LCK_20260114_DN_SOOPers_vs_KT_Rolster_S1,3,2026-01-14 09:54:54+00:00,16.01,KT Rolster,DN SOOPers,RED,"[""Rumble"", ""Malphite"", ""Wukong"", ""Yunara"", ""Ahri"", ""Taliyah"", ""Corki"", ""Alistar"", ""Pantheon"", ""K'Sante"", ""Ashe"", ""Ryze"", ""Dr. Mundo"", ""Lucian"", ""Viktor"", ""Braum"", ""Soraka"", ""Renekton"", ""Sion"", ""Sylas""]",0.5,0.5,,,0.5,0.5,0.5,0.5,BLUE,KT Rolster,0
BAN_PHASE_1,BLUE,BAN,Vi,2,LOLTMNT03_337081,LCK_20260114_DN_SOOPers_vs_KT_Rolster_S1,3,2026-01-14 09:54:54+00:00,16.01,KT Rolster,DN SOOPers,RED,"[""Rumble"", ""Malphite"", ""Wukong"", ""Yunara"", ""Ahri"", ""Taliyah"", ""Corki"", ""Alistar"", ""Pantheon"", ""K'Sante"", ""Ashe"", ""Ryze"", ""Dr. Mundo"", ""Lucian"", ""Viktor"", ""Braum"", ""Soraka"", ""Renekton"", ""Sion"", ""Sylas""]",0.5,0.5,,,0.5,0.5,0.5,0.5,BLUE,KT Rolster,1
BAN_PHASE_1,RED,BAN,Jayce,3,LOLTMNT03_337081,LCK_20260114_DN_SOOPers_vs_KT_Rolster_S1,3,2026-01-14 09:54:54+00:00,16.01,KT Rolster,DN SOOPers,RED,"[""Rumble"", ""Malphite"", ""Wukong"", ""Yunara"", ""Ahri"", ""Taliyah"", ""Corki"", ""Alistar"", ""Pantheon"", ""K'Sante"", ""Ashe"", ""Ryze"", ""Dr. Mundo"", ""Lucian"", ""Viktor"", ""Braum"", ""Soraka"", ""Renekton"", ""Sion"", ""Sylas""]",0.5,0.5,,,0.5,0.5,0.5,0.5,BLUE,KT Rolster,0
BAN_PHASE_1,BLUE,BAN,Neeko,4,LOLTMNT03_337081,LCK_20260114_DN_SOOPers_vs_KT_Rolster_S1,3,2026-01-14 09:54:54+00:00,16.01,KT Rolster,DN SOOPers,RED,"[""Rumble"", ""Malphite"", ""Wukong"", ""Yunara"", ""Ahri"", ""Taliyah"", ""Corki"", ""Alistar"", ""Pantheon"", ""K'Sante"", ""Ashe"", ""Ryze"", ""Dr. Mundo"", ""Lucian"", ""Viktor"", ""Braum"", ""Soraka"", ""Renekton"", ""Sion"", ""Sylas""]",0.5,0.5,,,0.5,0.5,0.5,0.5,BLUE,KT Rolster,1
BAN_PHASE_1,RED,BAN,Azir,5,LOLTMNT03_337081,LCK_20260114_DN_SOOPers_vs_KT_Rolster_S1,3,2026-01-14 09:54:54+00:00,16.01,KT Rolster,DN SOOPers,RED,"[""Rumble"", ""Malphite"", ""Wukong"", ""Yunara"", ""Ahri"", ""Taliyah"", ""Corki"", ""Alistar"", ""Pantheon"", ""K'Sante"", ""Ashe"", ""Ryze"", ""Dr. Mundo"", ""Lucian"", ""Viktor"", ""Braum"", ""Soraka"", ""Renekton"", ""Sion"", ""Sylas""]",0.5,0.5,,,0.5,0.5,0.5,0.5,BLUE,KT Rolster,0
BAN_PHASE_1,BLUE,BAN,Orianna,6,LOLTMNT03_337081,LCK_20260114_DN_SOOPers_vs_KT_Rolster_S1,3,2026-01-14 09:54:54+00:00,16.01,KT Rolster,DN SOOPers,RED,"[""Rumble"", ""Malphite"", ""Wukong"", ""Yunara"", ""Ahri"", ""Taliyah"", ""Corki"", ""Alistar"", ""Pantheon"", ""K'Sante"", ""Ashe"", ""Ryze"", ""Dr. Mundo"", ""Lucian"", ""Viktor"", ""Braum"", ""Soraka"", ""Renekton"", ""Sion"", ""Sylas""]",0.5,0.5,,,0.5,0.5,0.5,0.5,BLUE,KT Rolster,1
PICK_PHASE_1,RED,PICK,Ambessa,7,LOLTMNT03_337081,LCK_20260114_DN_SOOPers_vs_KT_Rolster_S1,3,2026-01-14 09:54:54+00:00,16.01,KT Rolster,DN SOOPers,RED,"[""Rumble"", ""Malphite"", ""Wukong"", ""Yunara"", ""Ahri"", ""Taliyah"", ""Corki"", ""Alistar"", ""Pantheon"", ""K'Sante"", ""Ashe"", ""Ryze"", ""Dr. Mundo"", ""Lucian"", ""Viktor"", ""Braum"", ""Soraka"", ""Renekton"", ""Sion"", ""Sylas""]",0.5,0.5,,,0.5,0.5,0.5,0.5,BLUE,KT Rolster,0
PICK_PHASE_1,BLUE,PICK,Aphelios,8,LOLTMNT03_337081,LCK_20260114_DN_SOOPers_vs_KT_Rolster_S1,3,2026-01-14 09:54:54+00:00,16.01,KT Rolster,DN SOOPers,RED,"[""Rumble"", ""Malphite"", ""Wukong"", ""Yunara"", ""Ahri"", ""Taliyah"", ""Corki"", ""Alistar"", ""Pantheon"", ""K'Sante"", ""Ashe"", ""Ryze"", ""Dr. Mundo"", ""Lucian"", ""Viktor"", ""Braum"", ""Soraka"", ""Renekton"", ""Sion"", ""Sylas""]",0.5,0.5,,,0.5,0.5,0.5,0.5,BLUE,KT Rolster,1
PICK_PHASE_1,BLUE,PICK,Jarvan IV,9,LOLTMNT03_337081,LCK_20260114_DN_SOOPers_vs_KT_Rolster_S1,3,2026-01-14 09:54:54+00:00,16.01,KT Rolster,DN SOOPers,RED,"[""Rumble"", ""Malphite"", ""Wukong"", ""Yunara"", ""Ahri"", ""Taliyah"", ""Corki"", ""Alistar"", ""Pantheon"", ""K'Sante"", ""Ashe"", ""Ryze"", ""Dr. Mundo"", ""Lucian"", ""Viktor"", ""Braum"", ""Soraka"", ""Renekton"", ""Sion"", ""Sylas""]",0.5,0.5,,,0.5,0.5,0.5,0.5,BLUE,KT Rolster,1
PICK_PHASE_1,RED,PICK,Nocturne,10,LOLTMNT03_337081,LCK_20260114_DN_SOOPers_vs_KT_Rolster_S1,3,2026-01-14 09:54:54+00:00,16.01,KT Rolster,DN SOOPers,RED,"[""Rumble"", ""Malphite"", ""Wukong"", ""Yunara"", ""Ahri"", ""Taliyah"", ""Corki"", ""Alistar"", ""Pantheon"", ""K'Sante"", ""Ashe"", ""Ryze"", ""Dr. Mundo"", ""Lucian"", ""Viktor"", ""Braum"", ""Soraka"", ""Renekton"", ""Sion"", ""Sylas""]",0.5,0.5,,,0.5,0.5,0.5,0.5,BLUE,KT Rolster,0
PICK_PHASE_1,RED,PICK,Ziggs,11,LOLTMNT03_337081,LCK_20260114_DN_SOOPers_vs_KT_Rolster_S1,3,2026-01-14 09:54:54+00:00,16.01,KT Rolster,DN SOOPers,RED,"[""Rumble"", ""Malphite"", ""Wukong"", ""Yunara"", ""Ahri"", ""Taliyah"", ""Corki"", ""Alistar"", ""Pantheon"", ""K'Sante"", ""Ashe"", ""Ryze"", ""Dr. Mundo"", ""Lucian"", ""Viktor"", ""Braum"", ""Soraka"", ""Renekton"", ""Sion"", ""Sylas""]",0.5,0.5,,,0.5,0.5,0.5,0.5,BLUE,KT Rolster,0
PICK_PHASE_1,BLUE,PICK,Thresh,12,LOLTMNT03_337081,LCK_20260114_DN_SOOPers_vs_KT_Rolster_S1,3,2026-01-14 09:54:54+00:00,16.01,KT Rolster,DN SOOPers,RED,"[""Rumble"", ""Malphite"", ""Wukong"", ""Yunara"", ""Ahri"", ""Taliyah"", ""Corki"", ""Alistar"", ""Pantheon"", ""K'Sante"", ""Ashe"", ""Ryze"", ""Dr. Mundo"", ""Lucian"", ""Viktor"", ""Braum"", ""Soraka"", ""Renekton"", ""Sion"", ""Sylas""]",0.5,0.5,,,0.5,0.5,0.5,0.5,BLUE,KT Rolster,1
BAN_PHASE_2,BLUE,BAN,Nautilus,13,LOLTMNT03_337081,LCK_20260114_DN_SOOPers_vs_KT_Rolster_S1,3,2026-01-14 09:54:54+00:00,16.01,KT Rolster,DN SOOPers,RED,"[""Rumble"", ""Malphite"", ""Wukong"", ""Yunara"", ""Ahri"", ""Taliyah"", ""Corki"", ""Alistar"", ""Pantheon"", ""K'Sante"", ""Ashe"", ""Ryze"", ""Dr. Mundo"", ""Lucian"", ""Viktor"", ""Braum"", ""Soraka"", ""Renekton"", ""Sion"", ""Sylas""]",0.5,0.5,,,0.5,0.5,0.5,0.5,BLUE,KT Rolster,1
BAN_PHASE_2,RED,BAN,Akali,14,LOLTMNT03_337081,LCK_20260114_DN_SOOPers_vs_KT_Rolster_S1,3,2026-01-14 09:54:54+00:00,16.01,KT Rolster,DN SOOPers,RED,"[""Rumble"", ""Malphite"", ""Wukong"", ""Yunara"", ""Ahri"", ""Taliyah"", ""Corki"", ""Alistar"", ""Pantheon"", ""K'Sante"", ""Ashe"", ""Ryze"", ""Dr. Mundo"", ""Lucian"", ""Viktor"", ""Braum"", ""Soraka"", ""Renekton"", ""Sion"", ""Sylas""]",0.5,0.5,,,0.5,0.5,0.5,0.5,BLUE,KT Rolster,0
BAN_PHASE_2,BLUE,BAN,Leona,15,LOLTMNT03_337081,LCK_20260114_DN_SOOPers_vs_KT_Rolster_S1,3,2026-01-14 09:54:54+00:00,16.01,KT Rolster,DN SOOPers,RED,"[""Rumble"", ""Malphite"", ""Wukong"", ""Yunara"", ""Ahri"", ""Taliyah"", ""Corki"", ""Alistar"", ""Pantheon"", ""K'Sante"", ""Ashe"", ""Ryze"", ""Dr. Mundo"", ""Lucian"", ""Viktor"", ""Braum"", ""Soraka"", ""Renekton"", ""Sion"", ""Sylas""]",0.5,0.5,,,0.5,0.5,0.5,0.5,BLUE,KT Rolster,1
BAN_PHASE_2,RED,BAN,Mel,16,LOLTMNT03_337081,LCK_20260114_DN_SOOPers_vs_KT_Rolster_S1,3,2026-01-14 09:54:54+00:00,16.01,KT Rolster,DN SOOPers,RED,"[""Rumble"", ""Malphite"", ""Wukong"", ""Yunara"", ""Ahri"", ""Taliyah"", ""Corki"", ""Alistar"", ""Pantheon"", ""K'Sante"", ""Ashe"", ""Ryze"", ""Dr. Mundo"", ""Lucian"", ""Viktor"", ""Braum"", ""Soraka"", ""Renekton"", ""Sion"", ""Sylas""]",0.5,0.5,,,0.5,0.5,0.5,0.5,BLUE,KT Rolster,0
PICK_PHASE_2,BLUE,PICK,Rek'Sai,17,LOLTMNT03_337081,LCK_20260114_DN_SOOPers_vs_KT_Rolster_S1,3,2026-01-14 09:54:54+00:00,16.01,KT Rolster,DN SOOPers,RED,"[""Rumble"", ""Malphite"", ""Wukong"", ""Yunara"", ""Ahri"", ""Taliyah"", ""Corki"", ""Alistar"", ""Pantheon"", ""K'Sante"", ""Ashe"", ""Ryze"", ""Dr. Mundo"", ""Lucian"", ""Viktor"", ""Braum"", ""Soraka"", ""Renekton"", ""Sion"", ""Sylas""]",0.5,0.5,,,0.5,0.5,0.5,0.5,BLUE,KT Rolster,1
PICK_PHASE_2,RED,PICK,Aurora,18,LOLTMNT03_337081,LCK_20260114_DN_SOOPers_vs_KT_Rolster_S1,3,2026-01-14 09:54:54+00:00,16.01,KT Rolster,DN SOOPers,RED,"[""Rumble"", ""Malphite"", ""Wukong"", ""Yunara"", ""Ahri"", ""Taliyah"", ""Corki"", ""Alistar"", ""Pantheon"", ""K'Sante"", ""Ashe"", ""Ryze"", ""Dr. Mundo"", ""Lucian"", ""Viktor"", ""Braum"", ""Soraka"", ""Renekton"", ""Sion"", ""Sylas""]",0.5,0.5,,,0.5,0.5,0.5,0.5,BLUE,KT Rolster,0
PICK_PHASE_2,RED,PICK,Rell,19,LOLTMNT03_337081,LCK_20260114_DN_SOOPers_vs_KT_Rolster_S1,3,2026-01-14 09:54:54+00:00,16.01,KT Rolster,DN SOOPers,RED,"[""Rumble"", ""Malphite"", ""Wukong"", ""Yunara"", ""Ahri"", ""Taliyah"", ""Corki"", ""Alistar"", ""Pantheon"", ""K'Sante"", ""Ashe"", ""Ryze"", ""Dr. Mundo"", ""Lucian"", ""Viktor"", ""Braum"", ""Soraka"", ""Renekton"", ""Sion"", ""Sylas""]",0.5,0.5,,,0.5,0.5,0.5,0.5,BLUE,KT Rolster,0
