series_id,game_id,game_number,year,date,patch,side,team,champion,pick_index,champion_games_before,champion_wins_before,champion_win_rate_before,champion_season_games_before,champion_season_wins_before,champion_season_win_rate_before,champion_patch_games_before,champion_patch_wins_before,champion_patch_win_rate_before,team_champion_games_before,team_champion_wins_before,team_champion_win_rate_before,picked_side_won
2025_20250115_DN_SOOPers_vs_Nongshim_RedForce_S1,LOLTMNT03_182705,2,2025,2025-01-15 12:36:28+00:00,15.01,BLUE,Nongshim RedForce,K'Sante,1,1,1,1.0,1,1,1.0,1,1,1.0,0,0,,1
2025_20250115_DN_SOOPers_vs_Nongshim_RedForce_S1,LOLTMNT03_182705,2,2025,2025-01-15 12:36:28+00:00,15.01,BLUE,Nongshim RedForce,Viktor,2,1,0,0.0,1,0,0.0,1,0,0.0,0,0,,1
2025_20250115_DN_SOOPers_vs_Nongshim_RedForce_S1,LOLTMNT03_182705,2,2025,2025-01-15 12:36:28+00:00,15.01,BLUE,Nongshim RedForce,Xin Zhao,3,1,1,1.0,1,1,1.0,1,1,1.0,0,0,,1
2025_20250115_DN_SOOPers_vs_Nongshim_RedForce_S1,LOLTMNT03_182705,2,2025,2025-01-15 12:36:28+00:00,15.01,BLUE,Nongshim RedForce,Xayah,4,1,0,0.0,1,0,0.0,1,0,0.0,0,0,,1
2025_20250115_DN_SOOPers_vs_Nongshim_RedForce_S1,LOLTMNT03_182705,2,2025,2025-01-15 12:36:28+00:00,15.01,BLUE,Nongshim RedForce,Rakan,5,1,0,0.0,1,0,0.0,1,0,0.0,0,0,,1
2025_20250115_DN_SOOPers_vs_Nongshim_RedForce_S1,LOLTMNT03_182705,2,2025,2025-01-15 12:36:28+00:00,15.01,RED,DN SOOPers,Nocturne,1,0,0,,0,0,,0,0,,0,0,,0
2025_20250115_DN_SOOPers_vs_Nongshim_RedForce_S1,LOLTMNT03_182705,2,2025,2025-01-15 12:36:28+00:00,15.01,RED,DN SOOPers,Aurora,2,1,1,1.0,1,1,1.0,1,1,1.0,0,0,,0
2025_20250115_DN_SOOPers_vs_Nongshim_RedForce_S1,LOLTMNT03_182705,2,2025,2025-01-15 12:36:28+00:00,15.01,RED,DN SOOPers,Orianna,3,0,0,,0,0,,0,0,,0,0,,0
2025_20250115_DN_SOOPers_vs_Nongshim_RedForce_S1,LOLTMNT03_182705,2,2025,2025-01-15 12:36:28+00:00,15.01,RED,DN SOOPers,Kai'Sa,4,1,1,1.0,1,1,1.0,1,1,1.0,0,0,,0
2025_20250115_DN_SOOPers_vs_Nongshim_RedForce_S1,LOLTMNT03_182705,2,2025,2025-01-15 12:36:28+00:00,15.01,RED,DN SOOPers,Rell,5,1,1,1.0,1,1,1.0,1,1,1.0,0,0,,0
2025_20250115_DN_SOOPers_vs_Nongshim_RedForce_S1,LOLTMNT03_182729,3,2025,2025-01-15 13:34:29+00:00,15.01,BLUE,DN SOOPers,Ashe,1,0,0,,0,0,,0,0,,0,0,,1
2025_20250115_DN_SOOPers_vs_Nongshim_RedForce_S1,LOLTMNT03_182729,3,2025,2025-01-15 13:34:29+00:00,15.01,BLUE,DN SOOPers,Jax,2,0,0,,0,0,,0,0,,0,0,,1
2025_20250115_DN_SOOPers_vs_Nongshim_RedForce_S1,LOLTMNT03_182729,3,2025,2025-01-15 13:34:29+00:00,15.01,BLUE,DN SOOPers,Braum,3,0,0,,0,0,,0,0,,0,0,,1
2025_20250115_DN_SOOPers_vs_Nongshim_RedForce_S1,LOLTMNT03_182729,3,2025,2025-01-15 13:34:29+00:00,15.01,BLUE,DN SOOPers,Ivern,4,0,0,,0,0,,0,0,,0,0,,1
2025_20250115_DN_SOOPers_vs_Nongshim_RedForce_S1,LOLTMNT03_182729,3,2025,2025-01-15 13:34:29+00:00,15.01,BLUE,DN SOOPers,Smolder,5,0,0,,0,0,,0,0,,0,0,,1
2025_20250115_DN_SOOPers_vs_Nongshim_RedForce_S1,LOLTMNT03_182729,3,2025,2025-01-15 13:34:29+00:00,15.01,RED,Nongshim RedForce,Corki,1,1,0,0.0,1,0,0.0,1,0,0.0,0,0,,0
2025_20250115_DN_SOOPers_vs_Nongshim_RedForce_S1,LOLTMNT03_182729,3,2025,2025-01-15 13:34:29+00:00,15.01,RED,Nongshim RedForce,Nidalee,2,0,0,,0,0,,0,0,,0,0,,0
2025_20250115_DN_SOOPers_vs_Nongshim_RedForce_S1,LOLTMNT03_182729,3,2025,2025-01-15 13:34:29+00:00,15.01,RED,Nongshim RedForce,Ezreal,3,0,0,,0,0,,0,0,,0,0,,0
2025_20250115_DN_SOOPers_vs_Nongshim_RedForce_S1,LOLTMNT03_182729,3,2025,2025-01-15 13:34:29+00:00,15.01,RED,Nongshim RedForce,Sion,4,0,0,,0,0,,0,0,,0,0,,0
2025_20250115_DN_SOOPers_vs_Nongshim_RedForce_S1,LOLTMNT03_182729,3,2025,2025-01-15 13:34:29+00:00,15.01,RED,Nongshim RedForce,Blitzcrank,5,0,0,,0,0,,0,0,,0,0,,0
2025_20250116_BNK_FEARX_vs_KT_Rolster_S1,LOLTMNT03_184086,1,2025,2025-01-16 08:09:06+00:00,15.01,BLUE,BNK FEARX,Rumble,1,1,0,0.0,1,0,0.0,1,0,0.0,0,0,,0
2025_20250116_BNK_FEARX_vs_KT_Rolster_S1,LOLTMNT03_184086,1,2025,2025-01-16 08:09:06+00:00,15.01,BLUE,BNK FEARX,Corki,2,2,0,0.0,2,0,0.0,2,0,0.0,0,0,,0
2025_20250116_BNK_FEARX_vs_KT_Rolster_S1,LOLTMNT03_184086,1,2025,2025-01-16 08:09:06+00:00,15.01,BLUE,BNK FEARX,Maokai,3,0,0,,0,0,,0,0,,0,0,,0
2025_20250116_BNK_FEARX_vs_KT_Rolster_S1,LOLTMNT03_184086,1,2025,2025-01-16 08:09:06+00:00,15.01,BLUE,BNK FEARX,Kai'Sa,4,2,1,0.5,2,1,0.5,2,1,0.5,0,0,,0
2025_20250116_BNK_FEARX_vs_KT_Rolster_S1,LOLTMNT03_184086,1,2025,2025-01-16 08:09:06+00:00,15.01,BLUE,BNK FEARX,Leona,5,1,0,0.0,1,0,0.0,1,0,0.0,0,0,,0
